user_id,business_id,date,review_id,stars,usefulvotes_review,user_name,categories,biz_name,latitude,longitude,business_avg,business_review_count,user_avg,user_review_count,predict_3_3,predict_3_15,predict_10_3,predict_10_15
rLtl8ZkDX5vH5nAx9C3q5Q,eIxSLxzIlfExI6vgAbn2JA,2011-05-12 00:00:00,z4G1g3VcdfigCUtVDFRL1w,4,5,Jason,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.7096774193548385,62,3.8002266453065476,3.735103784290269,3.86141989068194,3.782414844595237
C6IOtaaYdLIT5fWd7ZYIuA,eIxSLxzIlfExI6vgAbn2JA,2011-04-12 00:00:00,480M-xDpRaA1gCVCqIG4WA,4,14,Daren,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,4.0,15,4.167079256952302,4.26506475239716,4.091079802724863,4.010905471953528
mlBC3pN9GXlUUfQi1qBBZA,eIxSLxzIlfExI6vgAbn2JA,2011-09-17 00:00:00,q_T6FtScTul_yYIGyrgTxA,3,0,Jennifer,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.75,12,3.152994281359094,3.336683851954194,2.0529873159082186,2.6544603678543686
T7J9ae0wTskrI_Bgwp-4cA,eIxSLxzIlfExI6vgAbn2JA,2011-03-09 00:00:00,YPKedK7JuKC36cDAKuDGTQ,3,2,Jasmine,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.696969696969697,33,3.192040932463412,3.1968553712470156,3.323515513284472,3.321488999132116
nbofxFWHORebBHh10OgYLA,eIxSLxzIlfExI6vgAbn2JA,2011-07-28 00:00:00,y7yBnfbPxZJ_L93tnxMP3g,2,1,Christopher,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.8333333333333335,12,3.218880425083063,3.2163205429414705,-11.66151593776267,-0.36631547312223933
JffajLV-Dnn-eGYgdXDxFg,eIxSLxzIlfExI6vgAbn2JA,2009-12-06 00:00:00,usPFdmFuw7XCMg7ILk-qMQ,4,5,Amy,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,4.241379310344827,29,3.9690889404485885,3.8368508311744045,3.980561674905224,4.011794157031016
4ozupHULqGyO42s3zNUzOQ,eIxSLxzIlfExI6vgAbn2JA,2010-09-21 00:00:00,LZ7npWn3m-qQNEOto5kHMw,5,8,Lindsey,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,4.259740259740259,77,4.507199207630352,4.3996338872992276,4.498128856215853,4.550626715564086
du6KeE54IFbPiXpU3LOd1g,eIxSLxzIlfExI6vgAbn2JA,2010-07-22 00:00:00,Tov0jrr0QOAvrroWmeRvXQ,5,13,Donald,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.883720930232558,43,4.522211361538034,4.339082069447093,4.506322805906511,4.583565628890037
P2kVk4cIWyK4e4h14RhK-Q,eIxSLxzIlfExI6vgAbn2JA,2010-10-08 00:00:00,FXMDfQ-7JI2bjuICuDUIXA,5,21,Jim,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.945945945945946,37,4.905393228323087,4.84287616324031,4.4532390967174855,4.492879058079543
ikm0UCahtK34LbLCEw4YTw,eIxSLxzIlfExI6vgAbn2JA,2010-09-23 00:00:00,M_racMYOztHcf8vd_hJ07A,3,5,Rand,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.39476989999999,-111.9088938,4.04,25,3.85,20,2.52944227579418,2.7204893011372127,3.0302630972413676,3.0806090753407482
